HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"Hem 6 Mai Anh, Da Lat Vietnam",3,75,N/A,N/A,Strawberry Hotel Dalat,$14 ,$11 ,"$11, - ,$14","Which popular attractions are close to Strawberry Hotel Dalat?, ,What are some restaurants close to Strawberry Hotel Dalat?, ,Is Strawberry Hotel Dalat located near the city center?, ",N/A,1,"#320 of 1,320 Specialty lodging in Da Lat",40,N/A,24,Very good,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d17693056-Reviews-Strawberry_Hotel_Dalat-Da_Lat_Lam_Dong_Province.html
"55/2 Phan Chu Trinh, Da Lat 670000 Vietnam",2,44,30,N/A,Oriana Villa Da Lat,$19 ,$11 ,"$11, - ,$19","Which popular attractions are close to Oriana Villa Da Lat?, ,What are some restaurants close to Oriana Villa Da Lat?, ,Are there any historical sites close to Oriana Villa Da Lat?, ",11,1,"#220 of 1,320 Specialty lodging in Da Lat",50,N/A,24,Excellent,N/A,N/A,1,https://www.tripadvisor.com/Hotel_Review-g293922-d19636689-Reviews-Oriana_Villa_Da_Lat-Da_Lat_Lam_Dong_Province.html
"152 To Hien Thanh Ward 3, Da Lat 76 Vietnam",N/A,N/A,N/A,N/A,Huong Mai Hotel,$34 ,$10 ,"$10, - ,$34","Which popular attractions are close to Huong Mai Hotel?, ,What are some of the property amenities at Huong Mai Hotel?, ,Is parking available at Huong Mai Hotel?, ,What are some restaurants close to Huong Mai Hotel?, ",N/A,3,"#142 of 1,320 Specialty lodging in Da Lat",45,20,N/A,Excellent,9,Quaint,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d13283331-Reviews-Huong_Mai_Hotel-Da_Lat_Lam_Dong_Province.html
"5/3 Ba Trieu Street, Da Lat Vietnam",28,90,N/A,N/A,Hoang Trang Hotel,$13 ,$11 ,"$11, - ,$13","Which popular attractions are close to Hoang Trang Hotel?, ,What are some restaurants close to Hoang Trang Hotel?, ,Is Hoang Trang Hotel located near the city center?, ",N/A,4,"#140 of 1,320 Specialty lodging in Da Lat",45,N/A,147,Excellent,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d10150228-Reviews-Hoang_Trang_Hotel-Da_Lat_Lam_Dong_Province.html
"Hem 321 Phan Dinh Phung Ward 2, Da Lat 670000 Vietnam",5,79,N/A,English,The Hangout Home,$22 ,$10 ,"$10, - ,$22","Which popular attractions are close to The Hangout Home?, ,What are some of the property amenities at The Hangout Home?, ,What food & drink options are available at The Hangout Home?, ,Is parking available at The Hangout Home?, ,What are some restaurants close to The Hangout Home?, ,Does The Hangout Home have airport transportation?, ,Is The Hangout Home located near the city center?, ",N/A,2,"#203 of 1,320 Specialty lodging in Da Lat",45,N/A,34,Excellent,7,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d13418644-Reviews-The_Hangout_Home-Da_Lat_Lam_Dong_Province.html
"Nguyen Van Troi 89A Phuong 2, Da Lat Vietnam",25,89,N/A,N/A,Khach San Dalamoon Da Lat,$16 ,$11 ,"$11, - ,$16","Which popular attractions are close to Khach San Dalamoon Da Lat?, ,What are some restaurants close to Khach San Dalamoon Da Lat?, ,Is Khach San Dalamoon Da Lat located near the city center?, ",N/A,4,#74 of 799 B&Bs / Inns in Da Lat,45,N/A,124,Excellent,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d17537953-Reviews-Khach_San_Dalamoon_Da_Lat-Da_Lat_Lam_Dong_Province.html
"3Q/2, Alley 3B, Thong Thien Hoc, Da Lat Vietnam",5,77,N/A,N/A,Dalat Happy Hostel,$20 ,$10 ,"$10, - ,$20","Which popular attractions are close to Dalat Happy Hostel?, ,What are some restaurants close to Dalat Happy Hostel?, ,Is Dalat Happy Hostel located near the city center?, ",N/A,N/A,N/A,N/A,N/A,28,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d12849027-Reviews-Dalat_Happy_Hostel-Da_Lat_Lam_Dong_Province.html
"196 Phu Dong Thien Vuong Phuong 8, Da Lat 67000 Vietnam",2,56,N/A,N/A,Thanh Thanh 2 Hotel,$18 ,$11 ,"$11, - ,$18","Which popular attractions are close to Thanh Thanh 2 Hotel?, ,What are some of the property amenities at Thanh Thanh 2 Hotel?, ,Is parking available at Thanh Thanh 2 Hotel?, ,What are some restaurants close to Thanh Thanh 2 Hotel?, ",N/A,1,"#219 of 1,320 Specialty lodging in Da Lat",50,N/A,29,Excellent,14,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d17465065-Reviews-Thanh_Thanh_2_Hotel-Da_Lat_Lam_Dong_Province.html
"30 Nguyen Van Troi, Da Lat Vietnam",23,89,N/A,English,Xuan Cuong Hotel,$18 ,$11 ,"$11, - ,$18","Which popular attractions are close to Xuan Cuong Hotel?, ,What are some of the property amenities at Xuan Cuong Hotel?, ,Is parking available at Xuan Cuong Hotel?, ,What are some restaurants close to Xuan Cuong Hotel?, ,Does Xuan Cuong Hotel have an airport shuttle?, ,Does Xuan Cuong Hotel have airport transportation?, ,Is Xuan Cuong Hotel located near the city center?, ,Are any cleaning services offered at Xuan Cuong Hotel?, ",N/A,9,#75 of 799 B&Bs / Inns in Da Lat,40,N/A,126,Very good,15,"Family,Budget",N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d8671754-Reviews-Xuan_Cuong_Hotel-Da_Lat_Lam_Dong_Province.html
"138 Bui Thi Xuan Phuong 2, Da Lat Vietnam",15,90,N/A,N/A,An Boutique Hotel,$33 ,$11 ,"$11, - ,$33","Which popular attractions are close to An Boutique Hotel?, ,What are some restaurants close to An Boutique Hotel?, ,Is An Boutique Hotel located near the city center?, ",N/A,2,#68 of 819 hotels in Da Lat,45,N/A,88,Excellent,N/A,Boutique,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d17613034-Reviews-An_Boutique_Hotel-Da_Lat_Lam_Dong_Province.html
"37 Phu Dong Thien Vuong, Ward 8, Da Lat 66000 Vietnam",9,64,N/A,N/A,Queen Villa 2 Hotel,$18 ,$11 ,"$11, - ,$18","Which popular attractions are close to Queen Villa 2 Hotel?, ,What are some restaurants close to Queen Villa 2 Hotel?, ,Is Queen Villa 2 Hotel located near the city center?, ",N/A,2,#92 of 819 hotels in Da Lat,40,N/A,87,Very good,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d17768880-Reviews-Queen_Villa_2_Hotel-Da_Lat_Lam_Dong_Province.html
"Lot H23, Nguyen Thi Nghia, Da Lat Vietnam",4,79,N/A,"English, Vietnamese",Dong Viet Hotel,$22 ,$11 ,"$11, - ,$22","Which popular attractions are close to Dong Viet Hotel?, ,What are some of the property amenities at Dong Viet Hotel?, ,Which room amenities are available at Dong Viet Hotel?, ,Is parking available at Dong Viet Hotel?, ,What are some restaurants close to Dong Viet Hotel?, ,Does Dong Viet Hotel have airport transportation?, ,Is Dong Viet Hotel located near the city center?, ,Are any cleaning services offered at Dong Viet Hotel?, ,Which languages are spoken by the staff at Dong Viet Hotel?, ,Are there any historical sites close to Dong Viet Hotel?, ",N/A,5,"#175 of 1,320 Specialty lodging in Da Lat",40,20,43,Very good,12,Budget,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d12107824-Reviews-Dong_Viet_Hotel-Da_Lat_Lam_Dong_Province.html
"25 Dinh Tien Hoang Ward 2, Da Lat 670000 Vietnam",38,80,N/A,N/A,Song Anh Motel,$31 ,$11 ,"$11, - ,$31","Which popular attractions are close to Song Anh Motel?, ,What are some restaurants close to Song Anh Motel?, ,Is Song Anh Motel located near the city center?, ,Are there any historical sites close to Song Anh Motel?, ",N/A,4,"#176 of 1,320 Specialty lodging in Da Lat",40,30,263,Very good,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d15764352-Reviews-Song_Anh_Motel-Da_Lat_Lam_Dong_Province.html
"H4, Nguyen Thi Nghia Ward 2, Da Lat 670000 Vietnam",3,81,2,"English, Chinese, Vietnamese",Uyen Phuong Hotel,$19 ,$10 ,"$10, - ,$19","Which popular attractions are close to Uyen Phuong Hotel?, ,What are some of the property amenities at Uyen Phuong Hotel?, ,What food & drink options are available at Uyen Phuong Hotel?, ,Is parking available at Uyen Phuong Hotel?, ,What are some restaurants close to Uyen Phuong Hotel?, ,Does Uyen Phuong Hotel have an airport shuttle?, ,Does Uyen Phuong Hotel have airport transportation?, ,Is Uyen Phuong Hotel located near the city center?, ,Which languages are spoken by the staff at Uyen Phuong Hotel?, ,Are there any historical sites close to Uyen Phuong Hotel?, ",10,3,#124 of 799 B&Bs / Inns in Da Lat,40,30,50,Very good,13,Hidden Gem,2,https://www.tripadvisor.com/Hotel_Review-g293922-d13533067-Reviews-Uyen_Phuong_Hotel-Da_Lat_Lam_Dong_Province.html
"34 Phan Nhu Thach 34, Da Lat Vietnam",22,91,N/A,Vietnamese,My Thoa 3,$15 ,$11 ,"$11, - ,$15","Which popular attractions are close to My Thoa 3?, ,What are some of the property amenities at My Thoa 3?, ,Is parking available at My Thoa 3?, ,What are some restaurants close to My Thoa 3?, ,Does My Thoa 3 have airport transportation?, ,Is My Thoa 3 located near the city center?, ",N/A,1,"#385 of 1,320 Specialty lodging in Da Lat",30,N/A,141,Average,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d13352057-Reviews-My_Thoa_3-Da_Lat_Lam_Dong_Province.html
"171 Hai Ba Trung, Da Lat 670000 Vietnam",26,90,11,N/A,Le Nguyen Hotel,$43 ,$11 ,"$11, - ,$43","Which popular attractions are close to Le Nguyen Hotel?, ,What are some of the property amenities at Le Nguyen Hotel?, ,What food & drink options are available at Le Nguyen Hotel?, ,Is parking available at Le Nguyen Hotel?, ,What are some restaurants close to Le Nguyen Hotel?, ,Does Le Nguyen Hotel have airport transportation?, ,Is Le Nguyen Hotel located near the city center?, ,Are any cleaning services offered at Le Nguyen Hotel?, ,Are pets allowed at Le Nguyen Hotel?, ,Does Le Nguyen Hotel offer any business services?, ",9,7,#69 of 799 B&Bs / Inns in Da Lat,40,30,123,Very good,N/A,N/A,4,https://www.tripadvisor.com/Hotel_Review-g293922-d12960060-Reviews-Le_Nguyen_Hotel-Da_Lat_Lam_Dong_Province.html
"1 An Binh, Ward 3, Da Lat 670000 Vietnam",3,56,N/A,N/A,Richy Hotel,$22 ,$11 ,"$11, - ,$22","Which popular attractions are close to Richy Hotel?, ,What are some of the property amenities at Richy Hotel?, ,What food & drink options are available at Richy Hotel?, ,Is parking available at Richy Hotel?, ,What are some restaurants close to Richy Hotel?, ",N/A,2,"#344 of 1,320 Specialty lodging in Da Lat",35,30,37,Very good,N/A,Family,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d15779508-Reviews-Richy_Hotel-Da_Lat_Lam_Dong_Province.html
"9 Pham Ngu Lao St, Da Lat Vietnam",7,82,N/A,"English, Vietnamese",Uyen Vy Hotel,$22 ,$11 ,"$11, - ,$22","Which popular attractions are close to Uyen Vy Hotel?, ,What are some of the property amenities at Uyen Vy Hotel?, ,Which room amenities are available at Uyen Vy Hotel?, ,Is parking available at Uyen Vy Hotel?, ,What are some restaurants close to Uyen Vy Hotel?, ,Is Uyen Vy Hotel located near the city center?, ,Which languages are spoken by the staff at Uyen Vy Hotel?, ",N/A,3,#153 of 799 B&Bs / Inns in Da Lat,40,N/A,71,Very good,10,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d3355586-Reviews-Uyen_Vy_Hotel-Da_Lat_Lam_Dong_Province.html
"26 Hai Ba Trung Ward 6, Da Lat 670000 Vietnam",22,89,N/A,Vietnamese,Tea Leaf Hotel,$22 ,$11 ,"$11, - ,$22","Which popular attractions are close to Tea Leaf Hotel?, ,What are some of the property amenities at Tea Leaf Hotel?, ,Which room amenities are available at Tea Leaf Hotel?, ,What food & drink options are available at Tea Leaf Hotel?, ,Is parking available at Tea Leaf Hotel?, ,What are some restaurants close to Tea Leaf Hotel?, ,Does Tea Leaf Hotel have airport transportation?, ,Is Tea Leaf Hotel located near the city center?, ,Are pets allowed at Tea Leaf Hotel?, ",N/A,5,"#125 of 1,320 Specialty lodging in Da Lat",40,30,117,Very good,20,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d13503832-Reviews-Tea_Leaf_Hotel-Da_Lat_Lam_Dong_Province.html
"59 Nam Ky Khoi Nghia Ward 1, Da Lat 670000 Vietnam",18,91,N/A,Vietnamese,Amis 2 Hotel,$16 ,$11 ,"$11, - ,$16","Which popular attractions are close to Amis 2 Hotel?, ,What are some of the property amenities at Amis 2 Hotel?, ,Which room amenities are available at Amis 2 Hotel?, ,What food & drink options are available at Amis 2 Hotel?, ,Is parking available at Amis 2 Hotel?, ,What are some restaurants close to Amis 2 Hotel?, ,Does Amis 2 Hotel have an airport shuttle?, ,Does Amis 2 Hotel have airport transportation?, ,Is Amis 2 Hotel located near the city center?, ",N/A,1,#249 of 799 B&Bs / Inns in Da Lat,30,N/A,121,Average,13,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d4881470-Reviews-Amis_2_Hotel-Da_Lat_Lam_Dong_Province.html
"4-6A Nguyen Van Troi, Da Lat Vietnam",26,89,N/A,"English, Vietnamese",Tuyet Mai Hotel,$21 ,$11 ,"$11, - ,$21","Which popular attractions are close to Tuyet Mai Hotel?, ,What are some of the property amenities at Tuyet Mai Hotel?, ,Is parking available at Tuyet Mai Hotel?, ,What are some restaurants close to Tuyet Mai Hotel?, ,Is Tuyet Mai Hotel located near the city center?, ,Which languages are spoken by the staff at Tuyet Mai Hotel?, ",N/A,5,"#427 of 1,320 Specialty lodging in Da Lat",25,N/A,137,Average,N/A,Family,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d10055683-Reviews-Tuyet_Mai_Hotel-Da_Lat_Lam_Dong_Province.html
"So 8/4 Dao Duy Tu, Phuong 4, Da Lat Vietnam",4,85,N/A,N/A,Gia Khanh Hotel,$29 ,$11 ,"$11, - ,$29","Which popular attractions are close to Gia Khanh Hotel?, ,What are some of the property amenities at Gia Khanh Hotel?, ,What are some restaurants close to Gia Khanh Hotel?, ,Does Gia Khanh Hotel have airport transportation?, ,Is Gia Khanh Hotel located near the city center?, ",N/A,1,#278 of 799 B&Bs / Inns in Da Lat,20,20,65,Poor,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d13570859-Reviews-Gia_Khanh_Hotel-Da_Lat_Lam_Dong_Province.html
"61 Phan Nhu Thach, Da Lat Vietnam",1,67,N/A,"English, Vietnamese",Hotel Thien Bao,$22 ,$11 ,"$11, - ,$22","Which popular attractions are close to Hotel Thien Bao?, ,What are some of the property amenities at Hotel Thien Bao?, ,Is parking available at Hotel Thien Bao?, ,What are some restaurants close to Hotel Thien Bao?, ,Is Hotel Thien Bao located near the city center?, ,Which languages are spoken by the staff at Hotel Thien Bao?, ",N/A,1,#308 of 799 B&Bs / Inns in Da Lat,10,30,15,Terrible,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d13374773-Reviews-Hotel_Thien_Bao-Da_Lat_Lam_Dong_Province.html
"92 Ngo Thi Sy, Da Lat Vietnam",8,59,20,Vietnamese,Hoa Dat Guesthouse,$118 ,$12 ,"$12, - ,$118","Which popular attractions are close to Hoa Dat Guesthouse?, ,What are some of the property amenities at Hoa Dat Guesthouse?, ,Is parking available at Hoa Dat Guesthouse?, ,What are some restaurants close to Hoa Dat Guesthouse?, ,Does Hoa Dat Guesthouse have airport transportation?, ",3,N/A,N/A,N/A,N/A,47,N/A,N/A,N/A,3,https://www.tripadvisor.com/Hotel_Review-g293922-d13480414-Reviews-Hoa_Dat_Guesthouse-Da_Lat_Lam_Dong_Province.html
"56 Thong Thien Hoc 2, Da Lat Vietnam",2,72,N/A,N/A,Tara House,$15 ,$10 ,"$10, - ,$15","Which popular attractions are close to Tara House?, ,What are some restaurants close to Tara House?, ,Is Tara House located near the city center?, ",N/A,1,"#439 of 1,320 Specialty lodging in Da Lat",10,N/A,17,Terrible,7,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d13869344-Reviews-Tara_House-Da_Lat_Lam_Dong_Province.html
"80A Nguyen Chi Thanh St 80a, Da Lat 61000 Vietnam",17,91,N/A,"English, Vietnamese",Hoang Gia Hotel,$33 ,$11 ,"$11, - ,$33","Which popular attractions are close to Hoang Gia Hotel?, ,What are some of the property amenities at Hoang Gia Hotel?, ,Which room amenities are available at Hoang Gia Hotel?, ,Is parking available at Hoang Gia Hotel?, ,What are some restaurants close to Hoang Gia Hotel?, ,Is Hoang Gia Hotel located near the city center?, ,Which languages are spoken by the staff at Hoang Gia Hotel?, ",N/A,3,#205 of 799 B&Bs / Inns in Da Lat,35,10,105,Very good,20,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d6840397-Reviews-Hoang_Gia_Hotel-Da_Lat_Lam_Dong_Province.html
"Tran Nhat Duat, Da Lat Vietnam",5,54,N/A,"English, Vietnamese",Cafeinn Anh,$22 ,$11 ,"$11, - ,$22","Which popular attractions are close to Cafeinn Anh?, ,What are some of the property amenities at Cafeinn Anh?, ,Which room amenities are available at Cafeinn Anh?, ,What food & drink options are available at Cafeinn Anh?, ,Is parking available at Cafeinn Anh?, ,What are some restaurants close to Cafeinn Anh?, ,Does Cafeinn Anh have airport transportation?, ,Which languages are spoken by the staff at Cafeinn Anh?, ",N/A,N/A,N/A,N/A,N/A,40,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d12531497-Reviews-Cafeinn_Anh-Da_Lat_Lam_Dong_Province.html
"26 Le Lai Ward 5, Da Lat 670000 Vietnam",39,79,N/A,N/A,Den Long homestay & coffee,$26 ,$13 ,"$13, - ,$26","Which popular attractions are close to Den Long homestay & coffee?, ,What are some of the property amenities at Den Long homestay & coffee?, ,What food & drink options are available at Den Long homestay & coffee?, ,What are some restaurants close to Den Long homestay & coffee?, ,Is Den Long homestay & coffee located near the city center?, ",N/A,N/A,N/A,N/A,N/A,288,N/A,6,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d13958257-Reviews-Den_Long_homestay_coffee-Da_Lat_Lam_Dong_Province.html
"Alley 31 Nguyen Cong Tru, Da Lat Vietnam",2,72,N/A,"English, Vietnamese",Phuong Thao Guesthouse,$14 ,$11 ,"$11, - ,$14","Which popular attractions are close to Phuong Thao Guesthouse?, ,What are some of the property amenities at Phuong Thao Guesthouse?, ,Is parking available at Phuong Thao Guesthouse?, ,What are some restaurants close to Phuong Thao Guesthouse?, ,Is Phuong Thao Guesthouse located near the city center?, ,Which languages are spoken by the staff at Phuong Thao Guesthouse?, ",N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d12390047-Reviews-Phuong_Thao_Guesthouse-Da_Lat_Lam_Dong_Province.html
"Lo A37, Kqh Mac Dinh Chi, Phuong 04, Da Lat Vietnam",6,83,N/A,N/A,Khach San Moc Nhien,$19 ,$11 ,"$11, - ,$19","Which popular attractions are close to Khach San Moc Nhien?, ,What are some restaurants close to Khach San Moc Nhien?, ,Is Khach San Moc Nhien located near the city center?, ",N/A,N/A,N/A,N/A,N/A,49,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d17570010-Reviews-Khach_San_Moc_Nhien-Da_Lat_Lam_Dong_Province.html
"57 Nguyen Van Troi Ward 2, Da Lat 67000 Vietnam",22,89,15,"English, Vietnamese",Cattleya Hotel,$14 ,$14 ,"$14, - ,$14","Which popular attractions are close to Cattleya Hotel?, ,What are some of the property amenities at Cattleya Hotel?, ,What food & drink options are available at Cattleya Hotel?, ,Is parking available at Cattleya Hotel?, ,What are some restaurants close to Cattleya Hotel?, ,Does Cattleya Hotel have an airport shuttle?, ,Does Cattleya Hotel have airport transportation?, ,Is Cattleya Hotel located near the city center?, ,Are pets allowed at Cattleya Hotel?, ,Which languages are spoken by the staff at Cattleya Hotel?, ",1,1,"#384 of 1,320 Specialty lodging in Da Lat",30,N/A,111,Average,21,N/A,1,https://www.tripadvisor.com/Hotel_Review-g293922-d13223569-Reviews-Cattleya_Hotel-Da_Lat_Lam_Dong_Province.html
"12 Ha Huy Tap, Da Lat Vietnam",4,78,N/A,N/A,Hai Tran,$11 ,$11 ,"$11, - ,$11","Which popular attractions are close to Hai Tran?, ,What are some restaurants close to Hai Tran?, ,Is Hai Tran located near the city center?, ",N/A,N/A,N/A,N/A,N/A,24,N/A,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d17608364-Reviews-Hai_Tran-Da_Lat_Lam_Dong_Province.html
"63 Nguyen Luong Bang, Ward 2, Da Lat Vietnam",N/A,N/A,N/A,"English, Vietnamese",Kim Nhung Hotel,$11 ,$11 ,"$11, - ,$11","Which popular attractions are close to Kim Nhung Hotel?, ,What are some of the property amenities at Kim Nhung Hotel?, ,Is parking available at Kim Nhung Hotel?, ,What are some restaurants close to Kim Nhung Hotel?, ,Which languages are spoken by the staff at Kim Nhung Hotel?, ",N/A,2,"#357 of 1,320 Specialty lodging in Da Lat",35,N/A,N/A,Very good,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d10193128-Reviews-Kim_Nhung_Hotel-Da_Lat_Lam_Dong_Province.html
"46 Pham Ngoc Thach, Da Lat Vietnam",7,76,N/A,"English, Vietnamese",ATP Guesthouse,$24 ,$11 ,"$11, - ,$24","Which popular attractions are close to ATP Guesthouse?, ,What are some restaurants close to ATP Guesthouse?, ,Is ATP Guesthouse located near the city center?, ,Which languages are spoken by the staff at ATP Guesthouse?, ",N/A,1,"#392 of 1,320 Specialty lodging in Da Lat",30,N/A,47,Average,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d12909184-Reviews-ATP_Guesthouse-Da_Lat_Lam_Dong_Province.html
"85 Bui Thi Xuan, Da Lat 100063 Vietnam",11,66,N/A,N/A,Su 24h GUest House,$13 ,$11 ,"$11, - ,$13","Which popular attractions are close to Su 24h GUest House?, ,What are some restaurants close to Su 24h GUest House?, ,Is Su 24h GUest House located near the city center?, ",N/A,1,#299 of 799 B&Bs / Inns in Da Lat,10,10,131,Terrible,9,Budget,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d12657115-Reviews-Su_24h_GUest_House-Da_Lat_Lam_Dong_Province.html
"41 Nguyen Luong Bang Street, Ward 2, Da Lat Vietnam",5,83,4,"English, Vietnamese",GoGo Dalat Hostel,$21 ,$11 ,"$11, - ,$21","Which popular attractions are close to GoGo Dalat Hostel?, ,What are some of the property amenities at GoGo Dalat Hostel?, ,What food & drink options are available at GoGo Dalat Hostel?, ,Is parking available at GoGo Dalat Hostel?, ,What are some restaurants close to GoGo Dalat Hostel?, ,Is GoGo Dalat Hostel located near the city center?, ,Which languages are spoken by the staff at GoGo Dalat Hostel?, ",25,3,"#216 of 1,320 Specialty lodging in Da Lat",40,15,42,Very good,N/A,Budget,2,https://www.tripadvisor.com/Hotel_Review-g293922-d12430751-Reviews-GoGo_Dalat_Hostel-Da_Lat_Lam_Dong_Province.html
"82/16 Nguyen Thi Nghia Ward 2, Da Lat 670000 Vietnam",4,79,N/A,N/A,Lightning House,$17 ,$11 ,"$11, - ,$17","Which popular attractions are close to Lightning House?, ,What are some restaurants close to Lightning House?, ,Is Lightning House located near the city center?, ",N/A,2,"#378 of 1,320 Specialty lodging in Da Lat",30,N/A,47,Average,5,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d17633099-Reviews-Lightning_House-Da_Lat_Lam_Dong_Province.html
"89 Nguyen Van Troi, Da Lat 670000 Vietnam",13,90,N/A,"English, French, Russian",Vy Anh Hotel,$20 ,$11 ,"$11, - ,$20","Which popular attractions are close to Vy Anh Hotel?, ,Which room amenities are available at Vy Anh Hotel?, ,What are some restaurants close to Vy Anh Hotel?, ,Is Vy Anh Hotel located near the city center?, ,Which languages are spoken by the staff at Vy Anh Hotel?, ",N/A,1,"#449 of 1,320 Specialty lodging in Da Lat",10,N/A,91,Terrible,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d11789105-Reviews-Vy_Anh_Hotel-Da_Lat_Lam_Dong_Province.html
"A9 Ba Trieu, Ward 4, Da Lat Vietnam",6,81,N/A,"English, Vietnamese",Duy Phuong Hotel,$17 ,$11 ,"$11, - ,$17","Which popular attractions are close to Duy Phuong Hotel?, ,What are some of the property amenities at Duy Phuong Hotel?, ,Which room amenities are available at Duy Phuong Hotel?, ,Is parking available at Duy Phuong Hotel?, ,What are some restaurants close to Duy Phuong Hotel?, ,Does Duy Phuong Hotel have airport transportation?, ,Is Duy Phuong Hotel located near the city center?, ,Are any cleaning services offered at Duy Phuong Hotel?, ,Are pets allowed at Duy Phuong Hotel?, ,Which languages are spoken by the staff at Duy Phuong Hotel?, ",N/A,10,"#441 of 1,320 Specialty lodging in Da Lat",25,20,62,Average,18,Budget,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d7394541-Reviews-Duy_Phuong_Hotel-Da_Lat_Lam_Dong_Province.html
"128 Ly Tu Trong - Phuong 2, Da Lat Vietnam",20,89,N/A,N/A,Windy House,$25 ,$11 ,"$11, - ,$25","Which popular attractions are close to Windy House?, ,What are some restaurants close to Windy House?, ,Is Windy House located near the city center?, ",N/A,2,"#421 of 1,320 Specialty lodging in Da Lat",25,10,106,Average,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d17569752-Reviews-Windy_House-Da_Lat_Lam_Dong_Province.html
"147 Bui Thi Xuan Ward 2, Da Lat 670000 Vietnam",5,83,N/A,N/A,Van Minh Hotel,$25 ,$11 ,"$11, - ,$25","Which popular attractions are close to Van Minh Hotel?, ,What are some of the property amenities at Van Minh Hotel?, ,What are some restaurants close to Van Minh Hotel?, ,Does Van Minh Hotel have an airport shuttle?, ,Does Van Minh Hotel have airport transportation?, ,Is Van Minh Hotel located near the city center?, ,Are any cleaning services offered at Van Minh Hotel?, ",N/A,N/A,N/A,N/A,10,70,N/A,20,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d13813360-Reviews-Van_Minh_Hotel-Da_Lat_Lam_Dong_Province.html
"30 Le Thanh Ton, Ward 6, Da Lat Vietnam",35,70,N/A,"English, Vietnamese",Kim Phu Hotel,$17 ,$11 ,"$11, - ,$17","Which popular attractions are close to Kim Phu Hotel?, ,What are some of the property amenities at Kim Phu Hotel?, ,What food & drink options are available at Kim Phu Hotel?, ,Is parking available at Kim Phu Hotel?, ,What are some restaurants close to Kim Phu Hotel?, ,Does Kim Phu Hotel have an airport shuttle?, ,Does Kim Phu Hotel have airport transportation?, ,Is Kim Phu Hotel located near the city center?, ,Which languages are spoken by the staff at Kim Phu Hotel?, ",N/A,1,#296 of 799 B&Bs / Inns in Da Lat,10,N/A,194,Terrible,N/A,N/A,N/A,https://www.tripadvisor.com/Hotel_Review-g293922-d12491293-Reviews-Kim_Phu_Hotel-Da_Lat_Lam_Dong_Province.html
"29B Phan Boi Chau New No. 99/2 Phan Boi Chau, Ward 1, Da Lat 670000 Vietnam",20,91,37,N/A,The Local Da Lat,$15 ,$11 ,"$11, - ,$15","Which popular attractions are close to The Local Da Lat?, ,What are some of the property amenities at The Local Da Lat?, ,What are some restaurants close to The Local Da Lat?, ,Is The Local Da Lat located near the city center?, ",19,3,"#464 of 1,320 Specialty lodging in Da Lat",15,N/A,129,Poor,13,N/A,2,https://www.tripadvisor.com/Hotel_Review-g293922-d14006309-Reviews-The_Local_Da_Lat-Da_Lat_Lam_Dong_Province.html
